EKİN TÜRÜ,TOPRAK TİPİ,BÖLGE,SICAKLIK,HAVA DURUMU,SU İHTİYACI
Muz,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.5
Muz,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Normal,7.5
Muz,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,9.0
Muz,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,8.5
Muz,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.8
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal,3.65
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,5.15
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,4.65
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal,4.65
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,6.15
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,5.65
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.2
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Normal,5.0
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,6.5
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,6.0
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.3
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Normal,5.15
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,6.65
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,6.2
Muz,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.2
Muz,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Normal,5.15
Muz,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,6.65
Muz,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,6.15
Muz,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.2
Muz,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Normal,6.15
Muz,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,7.65
Muz,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,7.15
Muz,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.3
Muz,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Normal,7.15
Muz,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,8.65
Muz,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,8.1
Muz,Islak,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.8
Muz,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Normal,8.15
Muz,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,9.65
Muz,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,9.15
Muz,Islak,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,0.15
Muz,Islak,Akdeniz Bölgesi,10-20,Normal,4.37
Muz,Islak,Akdeniz Bölgesi,10-20,Güneşli,5.87
Muz,Islak,Akdeniz Bölgesi,10-20,Ruzgarlı,5.3
Muz,Islak,Akdeniz Bölgesi,10-20,Yağmurlu,0.1
Muz,Islak,Akdeniz Bölgesi,20-30,Normal,5.3
Muz,Islak,Akdeniz Bölgesi,20-30,Güneşli,6.8
Muz,Islak,Akdeniz Bölgesi,20-30,Ruzgarlı,6.3
Muz,Islak,Akdeniz Bölgesi,20-30,Yağmurlu,0.2
Muz,Islak,Akdeniz Bölgesi,30-40,Normal,6.3
Muz,Islak,Akdeniz Bölgesi,30-40,Güneşli,7.8
Muz,Islak,Akdeniz Bölgesi,30-40,Ruzgarlı,7.3
Muz,Islak,Akdeniz Bölgesi,30-40,Yağmurlu,0.3
Muz,Islak,Akdeniz Bölgesi,40-50,Normal,7.2
Muz,Islak,Akdeniz Bölgesi,40-50,Güneşli,8.7
Muz,Islak,Akdeniz Bölgesi,40-50,Ruzgarlı,8.2
Muz,Islak,Akdeniz Bölgesi,40-50,Yağmurlu,0.8
Muz,Islak,Güneydoğu Anadolu Bölgesi,10-20,Normal,3.345
Muz,Islak,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,4.85
Muz,Islak,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,4.4
Muz,Islak,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Muz,Islak,Güneydoğu Anadolu Bölgesi,20-30,Normal,4.4
Muz,Islak,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,5.9
Muz,Islak,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,5.4
Muz,Islak,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.1
Muz,Islak,Güneydoğu Anadolu Bölgesi,30-40,Normal,5.54
Muz,Islak,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,7.04
Muz,Islak,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,6.5
Muz,Islak,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.2
Muz,Islak,Güneydoğu Anadolu Bölgesi,40-50,Normal,6.52
Muz,Islak,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,8.02
Muz,Islak,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,7.5
Muz,Islak,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.3
Muz,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Normal,2.06
Muz,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,3.56
Muz,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,3.0
Muz,Islak,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Muz,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Normal,3.0
Muz,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,4.5
Muz,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,4.0
Muz,Islak,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.1
Muz,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Normal,4.1
Muz,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,5.6
Muz,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,5.1
Muz,Islak,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.1
Muz,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Normal,5.15
Muz,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,6.65
Muz,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,6.15
Muz,Islak,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.2
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Normal,6.97
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,8.47
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,7.8
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.2
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Normal,7.9
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,9.4
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,8.9
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.8
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Normal,8.8
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,10.3
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,9.8
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.8
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Normal,9.95
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,11.45
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,10.95
Fasulye,Kuru,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,1.95
Fasulye,Kuru,Akdeniz Bölgesi,10-20,Normal,7.98
Fasulye,Kuru,Akdeniz Bölgesi,10-20,Güneşli,9.48
Fasulye,Kuru,Akdeniz Bölgesi,10-20,Ruzgarlı,8.9
Fasulye,Kuru,Akdeniz Bölgesi,10-20,Yağmurlu,0.8
Fasulye,Kuru,Akdeniz Bölgesi,20-30,Normal,8.6
Fasulye,Kuru,Akdeniz Bölgesi,20-30,Güneşli,10.1
Fasulye,Kuru,Akdeniz Bölgesi,20-30,Ruzgarlı,9.6
Fasulye,Kuru,Akdeniz Bölgesi,20-30,Yağmurlu,0.6
Fasulye,Kuru,Akdeniz Bölgesi,30-40,Normal,9.8
Fasulye,Kuru,Akdeniz Bölgesi,30-40,Güneşli,11.3
Fasulye,Kuru,Akdeniz Bölgesi,30-40,Ruzgarlı,10.8
Fasulye,Kuru,Akdeniz Bölgesi,30-40,Yağmurlu,1.8
Fasulye,Kuru,Akdeniz Bölgesi,40-50,Normal,10.95
Fasulye,Kuru,Akdeniz Bölgesi,40-50,Güneşli,12.45
Fasulye,Kuru,Akdeniz Bölgesi,40-50,Ruzgarlı,11.8
Fasulye,Kuru,Akdeniz Bölgesi,40-50,Yağmurlu,2.8
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Normal,5.53
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,7.03
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,6.5
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Normal,6.5
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,8.0
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,7.5
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.5
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Normal,7.6
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,9.0
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,8.6
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.8
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Normal,8.55
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,10.05
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,9.5
Fasulye,Kuru,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.55
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Normal,4.51
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,6.01
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,5.51
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Normal,5.5
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,7.0
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,6.5
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.2
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Normal,6.5
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,8.0
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,7.5
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.2
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Normal,7.8
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,9.3
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,8.8
Fasulye,Kuru,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.8
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Normal,5.33
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,6.83
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,6.33
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.5
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Normal,6.2
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,7.7
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,7.2
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,20-30,Yağmurlu,0.8
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Normal,7.4
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Güneşli,8.9
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Ruzgarlı,8.4
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,30-40,Yağmurlu,0.8
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Normal,8.34
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Güneşli,9.85
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Ruzgarlı,7.35
Fasulye,Nemli,İç ve Doğu Anadolu Bölgesi,40-50,Yağmurlu,0.34
Fasulye,Nemli,Akdeniz Bölgesi,10-20,Normal,4.71
Fasulye,Nemli,Akdeniz Bölgesi,10-20,Güneşli,6.21
Fasulye,Nemli,Akdeniz Bölgesi,10-20,Ruzgarlı,5.71
Fasulye,Nemli,Akdeniz Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Nemli,Akdeniz Bölgesi,20-30,Normal,5.8
Fasulye,Nemli,Akdeniz Bölgesi,20-30,Güneşli,7.3
Fasulye,Nemli,Akdeniz Bölgesi,20-30,Ruzgarlı,6.8
Fasulye,Nemli,Akdeniz Bölgesi,20-30,Yağmurlu,0.2
Fasulye,Nemli,Akdeniz Bölgesi,30-40,Normal,6.6
Fasulye,Nemli,Akdeniz Bölgesi,30-40,Güneşli,8.1
Fasulye,Nemli,Akdeniz Bölgesi,30-40,Ruzgarlı,7.6
Fasulye,Nemli,Akdeniz Bölgesi,30-40,Yağmurlu,0.5
Fasulye,Nemli,Akdeniz Bölgesi,40-50,Normal,7.9
Fasulye,Nemli,Akdeniz Bölgesi,40-50,Güneşli,9.4
Fasulye,Nemli,Akdeniz Bölgesi,40-50,Ruzgarlı,8.9
Fasulye,Nemli,Akdeniz Bölgesi,40-50,Yağmurlu,0.6
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Normal,3.9
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Güneşli,5.4
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Ruzgarlı,4.9
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Normal,4.9
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Güneşli,6.4
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Ruzgarlı,5.9
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,20-30,Yağmurlu,0.1
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Normal,5.8
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Güneşli,7.3
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Ruzgarlı,6.8
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,30-40,Yağmurlu,0.3
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Normal,6.7
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Güneşli,8.2
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Ruzgarlı,7.7
Fasulye,Nemli,Güneydoğu Anadolu Bölgesi,40-50,Yağmurlu,0.4
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal,2.8
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Güneşli,4.3
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Ruzgarlı,3.8
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal,3.7
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli,5.2
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Ruzgarlı,4.7
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu,0.1
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Normal,4.9
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli,6.4
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Ruzgarlı,5.9
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Yağmurlu,0.5
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Normal,5.8
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Güneşli,7.3
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Ruzgarlı,6.8
Fasulye,Nemli,Marmara Ege Karadeniz Bölgesi,40-50,Yağmurlu,0.3
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Normal,4.1
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Güneşli,5.6
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Ruzgarlı,5.1
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,10-20,Yağmurlu,0.1
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Normal,5.1
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Güneşli,6.6
Fasulye,Islak,İç ve Doğu Anadolu Bölgesi,20-30,Ruzgarlı,6.1
