Şehir,Ay,Toprak Türü,Bölge,Sıcaklık,Hava Durumu
Sakarya,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Sakarya,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Sakarya,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Sakarya,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Sakarya,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Sakarya,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Sakarya,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Sakarya,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Sakarya,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Sakarya,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Sakarya,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Sakarya,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Bilecik,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Bilecik,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Bilecik,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Bilecik,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Bilecik,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Bilecik,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Bilecik,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Bilecik,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Bilecik,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Bilecik,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Bilecik,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Bilecik,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Düzce,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Düzce,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Düzce,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Düzce,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Düzce,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Düzce,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Düzce,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Düzce,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Düzce,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Düzce,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Düzce,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Düzce,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Kırklareli,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Kırklareli,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Kırklareli,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Kırklareli,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Kırklareli,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Kırklareli,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Kırklareli,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Kırklareli,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Kırklareli,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Kırklareli,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Kırklareli,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Kırklareli,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Çorlu,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Çorlu,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Çorlu,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Çorlu,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Çorlu,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Çorlu,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Çorlu,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Çorlu,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Çorlu,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Çorlu,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Çorlu,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Çorlu,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
İzmir,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
İzmir,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
İzmir,Mart,Nemli,Ege Bölgesi,10-20,Normal
İzmir,Nisan,Nemli,Ege Bölgesi,20-30,Normal
İzmir,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
İzmir,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
İzmir,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
İzmir,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
İzmir,Eylül,Nemli,Ege Bölgesi,20-30,Normal
İzmir,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
İzmir,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
İzmir,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Aydın,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
Aydın,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Aydın,Mart,Nemli,Ege Bölgesi,10-20,Normal
Aydın,Nisan,Nemli,Ege Bölgesi,20-30,Normal
Aydın,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
Aydın,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
Aydın,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
Aydın,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
Aydın,Eylül,Nemli,Ege Bölgesi,20-30,Normal
Aydın,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
Aydın,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
Aydın,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Manisa,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
Manisa,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Manisa,Mart,Nemli,Ege Bölgesi,10-20,Normal
Manisa,Nisan,Nemli,Ege Bölgesi,20-30,Normal
Manisa,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
Manisa,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
Manisa,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
Manisa,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
Manisa,Eylül,Nemli,Ege Bölgesi,20-30,Normal
Manisa,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
Manisa,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
Manisa,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Muğla,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
Muğla,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Muğla,Mart,Nemli,Ege Bölgesi,10-20,Normal
Muğla,Nisan,Nemli,Ege Bölgesi,20-30,Normal
Muğla,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
Muğla,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
Muğla,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
Muğla,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
Muğla,Eylül,Nemli,Ege Bölgesi,20-30,Normal
Muğla,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
Muğla,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
Muğla,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Denizli,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
Denizli,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Denizli,Mart,Nemli,Ege Bölgesi,10-20,Normal
Denizli,Nisan,Nemli,Ege Bölgesi,20-30,Normal
Denizli,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
Denizli,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
Denizli,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
Denizli,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
Denizli,Eylül,Nemli,Ege Bölgesi,20-30,Normal
Denizli,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
Denizli,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
Denizli,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Kütahya,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
Kütahya,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Kütahya,Mart,Nemli,Ege Bölgesi,10-20,Normal
Kütahya,Nisan,Nemli,Ege Bölgesi,20-30,Normal
Kütahya,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
Kütahya,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
Kütahya,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
Kütahya,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
Kütahya,Eylül,Nemli,Ege Bölgesi,20-30,Normal
Kütahya,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
Kütahya,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
Kütahya,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Uşak,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
Uşak,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Uşak,Mart,Nemli,Ege Bölgesi,10-20,Normal
Uşak,Nisan,Nemli,Ege Bölgesi,20-30,Normal
Uşak,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
Uşak,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
Uşak,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
Uşak,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
Uşak,Eylül,Nemli,Ege Bölgesi,20-30,Normal
Uşak,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
Uşak,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
Uşak,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Afyonkarahisar,Ocak,Nemli,Ege Bölgesi,10-20,Yağmurlu
Afyonkarahisar,Şubat,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Afyonkarahisar,Mart,Nemli,Ege Bölgesi,10-20,Normal
Afyonkarahisar,Nisan,Nemli,Ege Bölgesi,20-30,Normal
Afyonkarahisar,Mayıs,Nemli,Ege Bölgesi,20-30,Güneşli
Afyonkarahisar,Haziran,Nemli,Ege Bölgesi,20-30,Güneşli
Afyonkarahisar,Temmuz,Nemli,Ege Bölgesi,30-40,Güneşli
Afyonkarahisar,Ağustos,Nemli,Ege Bölgesi,30-40,Güneşli
Afyonkarahisar,Eylül,Nemli,Ege Bölgesi,20-30,Normal
Afyonkarahisar,Ekim,Nemli,Ege Bölgesi,20-30,Yağmurlu
Afyonkarahisar,Kasım,Nemli,Ege Bölgesi,10-20,Yağmurlu
Afyonkarahisar,Aralık,Nemli,Ege Bölgesi,10-20,Rüzgarlı
Balıkesir,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Balıkesir,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Balıkesir,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Balıkesir,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Balıkesir,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Balıkesir,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Balıkesir,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Balıkesir,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Balıkesir,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Balıkesir,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Balıkesir,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Balıkesir,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Çanakkale,Ocak,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Çanakkale,Şubat,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Çanakkale,Mart,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Normal
Çanakkale,Nisan,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Çanakkale,Mayıs,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Çanakkale,Haziran,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Güneşli
Çanakkale,Temmuz,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Çanakkale,Ağustos,Nemli,Marmara Ege Karadeniz Bölgesi,30-40,Güneşli
Çanakkale,Eylül,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Normal
Çanakkale,Ekim,Nemli,Marmara Ege Karadeniz Bölgesi,20-30,Yağmurlu
Çanakkale,Kasım,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Yağmurlu
Çanakkale,Aralık,Nemli,Marmara Ege Karadeniz Bölgesi,10-20,Rüzgarlı
Trabzon,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Trabzon,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Trabzon,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Trabzon,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Trabzon,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Trabzon,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Trabzon,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Trabzon,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Trabzon,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Trabzon,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Trabzon,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Trabzon,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Samsun,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Samsun,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Samsun,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Samsun,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Samsun,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Samsun,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Samsun,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Samsun,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Samsun,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Samsun,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Samsun,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Samsun,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Rize,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Rize,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Rize,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Rize,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Rize,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Rize,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Rize,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Rize,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Rize,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Rize,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Rize,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Rize,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Ordu,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Ordu,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Ordu,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
Ordu,Nisan,Nemli,Karadeniz Bölgesi,20-30,Normal
Ordu,Mayıs,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Ordu,Haziran,Nemli,Karadeniz Bölgesi,20-30,Güneşli
Ordu,Temmuz,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Ordu,Ağustos,Nemli,Karadeniz Bölgesi,30-40,Güneşli
Ordu,Eylül,Nemli,Karadeniz Bölgesi,20-30,Normal
Ordu,Ekim,Nemli,Karadeniz Bölgesi,20-30,Yağmurlu
Ordu,Kasım,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Ordu,Aralık,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Giresun,Ocak,Nemli,Karadeniz Bölgesi,10-20,Yağmurlu
Giresun,Şubat,Nemli,Karadeniz Bölgesi,10-20,Rüzgarlı
Giresun,Mart,Nemli,Karadeniz Bölgesi,10-20,Normal
